Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
368,"Author: Bregou Bourgeois, A., Mariani, B., Aminian, K., Zambelli, P. Y. and Newman, C. J.
Year: 2014
Title: Spatio-temporal gait analysis in children with cerebral palsy using, foot-worn inertial sensors
Journal: Gait Posture
Volume: 39
Issue: 1
Pages: 436-42
",,,,,,,,,,,,,,,,,,,
399,"Author: Cai, G., Huang, Y., Luo, S., Lin, Z., Dai, H. and Ye, Q.
Year: 2017
Title: Continuous quantitative monitoring of physical activity in Parkinson's disease patients by using wearable devices: a case-control study
Journal: Neurol Sci
Volume: 38
Issue: 9
Pages: 1657-1663
",,,,,,,,,,,,,,,,,,,
403,"Author: Cairns, A., Wickwire, E., Schaefer, E. and Nyanjom, D.
Year: 2014
Title: A pilot validation study for the NOX T3(TM) portable monitor for the detection of OSA
Journal: Sleep Breath
Volume: 18
Issue: 3
Pages: 609-14
",,,,,,,,,,,,,,,,,,,
411,"Author: Camiletti-Moiron, D., Segura-Jimenez, V., Alvarez-Gallardo, I. C., Estevez-Lopez, F., Aparicio, V. A., Carbonell-Baeza, A., Ruiz, J. R. and Delgado-Fernandez, M.
Year: 2015
Title: Inter-accelerometer comparison to measure physical activity and sedentary time in female fibromyalgia patients: the al-Andalus project
Journal: Clin Exp Rheumatol
Volume: 33
Issue: 1 Suppl 88
Pages: S46-52
",,,,,,,,,,,,,,,,,,,
415,"Author: Campos, C., DePaul, V. G., Knorr, S., Wong, J. S., Mansfield, A. and Patterson, K. K.
Year: 2018
Title: Validity of the ActiGraph activity monitor for individuals who walk slowly post-stroke
Journal: Top Stroke Rehabil
Volume: 25
Issue: 4
Pages: 295-304
",,,,,,,,,,,,,,,,,,,
416,"Author: Cancela, J., Pastorino, M., Tzallas, A. T., Tsipouras, M. G., Rigas, G., Arredondo, M. T. and Fotiadis, D. I.
Year: 2014
Title: Wearability assessment of a wearable system for Parkinson's disease remote monitoring based on a body area network of sensors
Journal: Sensors (Basel)
Volume: 14
Issue: 9
Pages: 17235-55
",,,,,,,,,,,,,,,,,,,
417,"Author: Cancela, J., Pastorino, M., Arredondo, M. T., Nikita, K. S., Villagra, F. and Pastor, M. A.
Year: 2014
Title: Feasibility study of a wearable system based on a wireless body area network for gait assessment in Parkinson's disease patients
Journal: Sensors (Basel)
Volume: 14
Issue: 3
Pages: 4618-33
",,,,,,,,,,,,,,,,,,,
421,"Author: Capecci, M., Pepa, L., Verdini, F. and Ceravolo, M. G.
Year: 2016
Title: A smartphone-based architecture to detect and quantify freezing of gait in Parkinson's disease
Journal: Gait Posture
Volume: 50
Pages: 28-33
",,,,,,,,,,,,,,,,,,,
428,"Author: Carcreff, L., Gerber, C. N., Paraschiv-Ionescu, A., De Coulon, G., Newman, C. J., Armand, S. and Aminian, K.
Year: 2018
Title: What is the Best Configuration of Wearable Sensors to Measure Spatiotemporal Gait Parameters in Children with Cerebral Palsy?
Journal: Sensors (Basel)
Volume: 18
Issue: 2
Epub Date: 2018/02/02
",,,,,,,,,,,,,,,,,,,
454,"Author: Castelli, L., Stocchi, L., Patrignani, M., Sellitto, G., Giuliani, M. and Prosperini, L.
Year: 2015
Title: We-Measure: Toward a low-cost portable posturography for patients with multiple sclerosis using the commercial Wii balance board
Journal: J Neurol Sci
Volume: 359
Issue: 1-2
Pages: 440-4
",,,,,,,,,,,,,,,,,,,
458,"Author: Castroflorio, T., Deregibus, A., Bargellini, A., Debernardi, C. and Manfredini, D.
Year: 2014
Title: Detection of sleep bruxism: comparison between an electromyographic and electrocardiographic portable holter and polysomnography
Journal: J Oral Rehabil
Volume: 41
Issue: 3
Pages: 163-9
",,,,,,,,,,,,,,,,,,,
